n,url,verdict,pattern
1,royceattrumbull.com,U,js-popup-unit-table (view-detail modal no urlchange)
2,solanobelleair.com,U,engrain-sightmap-embed (MISFP existing adapter)
3,summitonthehudson.com,U,engrain-sightmap-embed (MISFP)
4,parkvanness.com,U,multi-hop -> parkvanness.securecafe.com oleapplication (MISFP securecafe)
5,elevatetoshorepark.com,U,js-popup-unit-table (like #1)
6,1900pacific.com,U,engrain-sightmap-embed (MISFP)
7,smdproperty.com/country-club-apartments,F,style/floorplan-level no unit# (user policy: record floorplan-level but counts as F not unit-level)
8,ascendnonawest.com,U,popup->check-availability->unit-level
9,liveatcivicsquare.com,U,engrain-sightmap-embed (MISFP)
10,tvcproperties.com,U,community-detail #available listing
11,integrapalms.com,U,engrain-sightmap (MISFP)
12,solaire7607.com,U,js-popup-unit-table
13,waterfordtrailsliving.com,U,popup->check-availability
14,aspenmeadowky.com,U,in-page-expand click-available-unit
15,livevictorprosper.com,U,engrain-sightmap (MISFP)
16,liveastonpointe.com,U,popup->check-availability
17,broadstoneparagon.com,U,engrain-sightmap (MISFP)
18,parkplace380.com,F,floorplan-level table avail-text no unit#
19,residecrosbyhill.com,F,floorplan-level bed-type only
20,liveemersonpark.com,U,click-floorplan->view-availability
